سورہ نمبر,فعل (Verb),معنی (Meaning),حروف اصلی (Root Letters),مادہ/اصل کے مختلف اردو معانی,اردو میں مستعمل لفظ/جملے,عربی مثال,ترجمہ (مثال کا),صرفی و نحوی وضاحت
2,يُبَيِّن,وہ بیان کرے,بين,درمیان، مابین، بچھ میں,بیان کرنا، واضح کرنا، ظاہر کرنا,الرجل يبين الحقائق,وہ آدمی حقائق کو بیان کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
2,قَالَ,کہا (موسیٰ ),قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَقُولُ,وہ فرماتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,يَقُولُ الحكيم: العلم نور,حکیم کہتے ہیں: علم روشنی ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,تَسُرُّ,خوش کرتی ہو / بھلی لگے وہ,سرر,خوشی، مسرت، خوشی سے محفوظ رکھنا,خوش کرنا، دل بہلانا، مزیدار بنانا,الموسيقى تسر القلب,موسیقی دل کو خوش کرتی ہے,فعل مضارع، معروف، مرفوع
2,ٱدْعُ,دعا کرو,دعو,دعوت، بلانا، اپیل، مطالبہ,دعا کرنا، التجا کرنا، فریاد کرنا,ادع الله في كل حين,ہر وقت اللہ سے دعا کرو,فعل امر، معروف، صیغہ دوم مذکر واحد
2,يُبَيِّن,وہ بیان کرے,بين,درمیان، مابین، بچھ میں,بیان کرنا، واضح کرنا، ظاہر کرنا,الرجل يبين الحقائق,وہ آدمی حقائق کو بیان کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
2,تَشَٰبَهَ,مشتبہ ہوگئی ہیں,شبه,ملتے جلتے، مشابہت، مماثلت,مشابہت دیکھنا، مماثلت پیدا کرنا، یکساں ہونا,الأشياء تشابه في بعض الخصائص,چیزیں کچھ خصوصیات میں مشابہ ہوتی ہیں,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,شَآءَ,چاہا,شيأ,چیز، شے، مواد,چاہنا، ارادہ کرنا، خواہش کرنا,شَآءَ أن يذهب إلى السوق,اس نے بازار جانے کا ارادہ کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,قَالَ,کہا,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَقُولُ,وہ فرماتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,يَقُولُ الحكيم: العلم نور,حکیم کہتے ہیں: علم روشنی ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,تُثِيرُ,کہ ہل چلاتی ہو / پھاڑتی ہو,ثور,بھڑکنا& غصہ,ہلچل پیدا کرنا، پھاڑنا، بے چین کرنا,الرياح تثير الأمواج,ہوا لہریں ہل چلاتی ہے,فعل مضارع، معروف، مرفوع
2,تَسْقِى,پانی پلاتی ہو / سیراب کرتی ہو,سقي,پانی پلانا,پانی پلانا، سیراب کرنا، پانی دینا,الأم تسقي طفلها الحليب,ماں اپنے بچے کو دودھ پلاتی ہے,فعل مضارع، معروف، مرفوع
2,يُحْىِ,زندہ کرتا ہے,حيي,زندہ کرنا، ہمیشہ رہنا، حیات,زندہ کرنا، حیات بخشنا، جیوان دینا,الله يحيي الموتى,اللہ مردے کو زندہ کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,قَسَتْ,سخت ہوگئے,قسو,سختی، کٹھورتی، بے رحمی,سخت ہونا، بے رحم ہونا، غیر مہربان ہونا,قلبه قسط عن الرحمة,اس کا دل رحم سے سخت ہوگیا,فعل ماضی، معروف
2,يَتَفَجَّرُ,پھوٹ پڑتی ہیں,فجر,پھوڑنا,پھوٹنا، برستنا، فجر ہونا,البركان يتفجر,جوالمکھی پھوٹ پڑتی ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,يَشَّقَّقُ,شق ہوجاتا ہے / پھٹ جاتا ہے,شقق,تنازع، مخالفت، الگ تھلگ,شق شق ہونا، تقسیم کرنا، پھٹنا,الورقة تشقق من الوسط,کاغذ بیچ سے پھٹ گیا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,يَهْبِطُ,گرپڑتا ہے,هبط,نیچے آنا، اترنا، کم ہونا,گرنا، نیچے اترنا، کمی ہونا,الطائرة تهبط في المطار,ہوائی جہاز ہوائی اڈے پر گر رہا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,خَلَا,علیحدہ ہوتے ہیں,خلو,تنہائی، اکیلا پن، خلوت,علیحدہ ہونا، تنہا ہونا، خالی ہونا,خلا البيت من الناس,گھر لوگوں سے خالی ہو گیا تھا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,فَتَحَ,کھولا ہے,فتح,فتح، جیت، کامیابی,کھولنا، افتتاح کرنا، آغاز کرنا,فتح الباب بيديه,اس نے اپنے ہاتھوں سے دروازہ کھولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَعْلَمُ,وہ جانتا ہے,علم,علم، معرفت، شناخت,علم رکھنا، جاننا، سمجھنا,يعلم الطالب الدرس جيدا,طالب کو سبق اچھی طرح پتہ ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,كَتَبَتْ,لکھا,كتب,لکھنا، کتاب، مضمون,لکھنا، تحریر کرنا، مسودہ کرنا,كتبت الطالبة الواجب المنزلي,طالبہ نے گھر کا کام لکھا,فعل ماضی، معروف
2,قُلْ,کہ دیجئے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,قل له أن يأتي,اسے کہ دو کہ وہ آئے,فعل امر، معروف، صیغہ دوم مذکر واحد
2,يُخْلِفَ,خلاف کرے گا,خلف,جانشینی، بعد میں آنے والا، عقب میں چھوڑنا,خلاف کرنا، ترک کرنا، پیچھے چھوڑنا,سوف يخلف الوعد,وہ وعدہ خلاف کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
2,كَسَبَ,کمایا,كسب,کمانا، حاصل کرنا، فائدہ اٹھانا,کمانا، حاصل کرنا، محنت کرنا,كسب المال من العمل,اس نے کام سے پیسے کمائے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يَفْعَلُ,کرتا ہے,فعل,کام، عمل، کردار,کرنا، عمل کرنا، انجام دینا,يفعل العمل بجد,وہ کام سنجیدگی سے کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,يُخَفَّفُ,ہلکا کیا جائے گا,خفف,رعایت، کمی، آسانی,ہلکا کرنا، کم کرنا، تخفیف کرنا,سيتم تخفيف العقوبة عنه,اس پر سزا ہلکی کی جائے گی,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، مرفوع
2,تَهْوَىٰٓ,چاہتے تھے (اسے),هوي,خواہش، محبت، رغبت,چاہنا، خواہش کرنا، آرزو کرنا,تهوى الطفل اللعب بالكرة,بچہ بال سے کھیلنے کی خواہش کرتا تھا,فعل مضارع، معروف، مجزوم
2,أَنزَلَ,نازل کیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نازل کرنا، اتارنا، لانا,أنزل الله القرآن,اللہ نے قرآن نازل کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,يُنَزِّلَ,نازل کرتا ہے,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نازل کرنا، اتارنا، لانا,ينزل الله الرحمة على عباده,اللہ اپنے بندوں پر رحمت نازل کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
2,يَشَآءُ,وہ چاہتا ہےس,شيأ,چیز، شے، مواد,چاہنا، خواہش کرنا، ارادہ کرنا,يشاء الله ما يريد,اللہ وہ چاہتا ہے جو چاہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
2,قِيلَ,کہا جاتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قِيلَ له: الحق مع الجماعة,اسے کہا گیا: حق جماعت کے ساتھ ہے,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
2,أَنزَلَ,نازل کیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نازل کرنا، اتارنا، لانا,أنزل الله القرآن,اللہ نے قرآن نازل کیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
2,نُؤْمِنُ,ہم ایمان لائیں گے,أمن,امن، سلامتی، امان,ایمان لانا، یقین کرنا، بھروسہ کرنا,نؤمن بالله ورسوله,ہم اللہ اور اس کے رسول پر ایمان لاتے ہیں,فعل مضارع، معروف، صیغہ اول جمع، مرفوع
2,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
